table,choice,nc,n_display,alpha2,k_param,y_lower,y_upper,u_lower,u_upper,ssn_status,ssn_solved,pmm_iter,ssn_iter,pmm_tol_achieved,ssn_time,ssn_obj,qpalm_status,qpalm_solved,qpalm_iter,qpalm_inner_iter,qpalm_tol_achieved,qpalm_time,qpalm_obj,osqp_status,osqp_solved,osqp_iter,osqp_tol_achieved,osqp_time,osqp_obj
poisson_state,poisson_state,7,33282,1.0,,-0.1,0.002,-inf,inf,0,1,4,4,1.1520494118201768e-09,0.388181667,0.12500000373429604,1,1,9,14,9.73491597933176e-09,0.381696582,-5.0817504881342905e-11,,,,,,
poisson_state,poisson_state,7,33282,0.01,,-0.1,0.175,-inf,inf,0,1,4,4,1.152047364871552e-09,0.278792209,0.1250000036159609,1,1,9,14,7.337663426307082e-09,0.34980033099999996,-1.6914580535654484e-10,,,,,,
poisson_state,poisson_state,7,33282,0.0001,,-0.1,0.9,-inf,inf,0,1,4,4,1.151955166218387e-09,0.278228042,0.12499999922303098,1,1,9,14,8.485134763906326e-09,0.371811207,-5.3948865972871734e-09,,,,,,
poisson_state,poisson_state,7,33282,1e-06,,-0.1,1.0,-inf,inf,0,1,4,4,1.1520667992069269e-09,0.28711704200000004,0.12499999791556386,1,1,9,14,7.0760372720301e-09,0.368369499,-7.319674917429934e-09,,,,,,
poisson_state,poisson_state,8,132098,1.0,,-0.1,0.002,-inf,inf,0,1,5,5,1.7179387635553347e-10,5.401252167,0.1250000011139477,1,1,10,18,1.0703258639326982e-09,5.39197154,-2.003968118183465e-11,,,,,,
poisson_state,poisson_state,8,132098,0.01,,-0.1,0.175,-inf,inf,0,1,5,5,1.7179402513300172e-10,5.594682541,0.12500000110655404,1,1,10,18,1.0703258077795208e-09,5.2530997070000005,-2.7434635625322163e-11,,,,,,
poisson_state,poisson_state,8,132098,0.0001,,-0.1,0.9,-inf,inf,0,1,5,5,1.7178854760152523e-10,5.4913222500000005,0.1250000010089687,1,1,10,18,1.2936812184888677e-09,5.671209749,-1.4421991329550683e-10,,,,,,
poisson_state,poisson_state,8,132098,1e-06,,-0.1,1.0,-inf,inf,0,1,5,5,1.717915188067913e-10,5.191784708999999,0.12500000100012612,1,1,10,18,1.0703253471211854e-09,5.278886249,-1.5659851503043746e-10,,,,,,
poisson_state,poisson_state,9,526338,1.0,,-0.1,0.002,-inf,inf,0,1,10,10,9.366275407700465e-09,49.257727458000005,0.12499987853233632,1,1,15,28,2.384466292869217e-09,23.870871624,3.4022130849069205e-11,,,,,,
poisson_state,poisson_state,9,526338,0.01,,-0.1,0.175,-inf,inf,0,1,10,10,9.365975747176076e-09,40.610681417,0.12499987853189072,1,1,15,28,2.3831079427295496e-09,23.926039706,3.35605677190529e-11,,,,,,
poisson_state,poisson_state,9,526338,0.0001,,-0.1,0.9,-inf,inf,0,1,10,10,9.36616840787063e-09,41.218162959000004,0.12499987852893799,1,1,15,28,2.866810907166297e-09,23.741580915,3.093243505487593e-11,,,,,,
poisson_state,poisson_state,9,526338,1e-06,,-0.1,1.0,-inf,inf,0,1,10,10,9.365994676013752e-09,40.191933958,0.1249998785288043,1,1,17,32,2.4698594817671855e-09,24.134647706,-3.656161223586715e-11,,,,,,
poisson_state,poisson_state,10,2101250,1.0,,-0.1,0.002,-inf,inf,0,1,11,11,8.54117928983772e-09,605.730933417,0.12500022153460374,1,1,23,48,7.139596184655327e-09,607.13095279,1.698143726960635e-11,,,,,,
poisson_state,poisson_state,10,2101250,0.01,,-0.1,0.175,-inf,inf,0,1,11,11,8.541073470744372e-09,599.32819925,0.12500022153458373,1,1,23,48,7.140115746667081e-09,610.952660748,1.695356298712251e-11,,,,,,
poisson_state,poisson_state,10,2101250,0.0001,,-0.1,0.9,-inf,inf,0,1,11,11,8.541117017404948e-09,601.0868612910001,0.125000221534554,1,1,23,48,7.140545677928747e-09,609.516995123,1.6893945575420925e-11,,,,,,
poisson_state,poisson_state,10,2101250,1e-06,,-0.1,1.0,-inf,inf,0,1,11,11,8.541158586550623e-09,606.8664985830001,0.12500022153455354,1,1,23,48,7.140770993196419e-09,612.8417062899999,1.689264305262168e-11,,,,,,
